sample_name	sample_id	species	locus	product_subtype	owning_workspace_id	kit_pool	sample_properties	sku	test_name	sample_catalog_tags	sample_rich_tags	sample_rich_tags_json	hla_class_i	hla_class_ii	kit_control	sequence_result_id	total_templates	productive_templates	outofframe_templates	stop_templates	dj_templates	total_rearrangements	productive_rearrangements	outofframe_rearrangements	stop_rearrangements	dj_rearrangements	total_reads	total_productive_reads	total_outofframe_reads	total_stop_reads	total_dj_reads	productive_clonality	productive_entropy	sample_clonality	sample_entropy	sample_amount_ng	sample_cells_mass_estimate	fraction_productive_of_cells_mass_estimate	sample_cells	fraction_productive_of_cells	max_productive_frequency	max_frequency	counting_method	primer_set	sequence_result_status	release_date	upload_date	fraction_productive	order_name	kit_id	total_t_cells	total_templates_agg	min_rearrangement_length
033	1e07943b-0587-442b-9aa1-5c02ce5016cf	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit	Tissue Source:Tumor		[]				34c9a8d4-687f-4185-a9db-6d7762a70bc5	5200	4205	886	109	na	4989	4030	853	106	na	na	na	na	na	na	0.0048	11.9197	0.0045	12.2292	no data	no data	no data	no data	no data	0.00642092759	0.00519230776	v3	Human-TCRB-PD1x	Published	03/16/16 03:59:18	03/16/16 08:23:19	0.8087			no data	no data	87
024	af621e75-f27d-4fa9-abea-39c54c5dd583	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit							0d60629f-ec3e-405e-afee-578caaa54eec	566	469	91	6	na	540	446	88	6	na	na	na	na	na	na	0.0036	8.7695	0.0032	9.0479	no data	no data	no data	no data	no data	0.00852878485	0.00706713786	v3	Human-TCRB-PD1x	Published	05/12/16 05:17:43	05/05/16 04:17:47	0.8286			no data	no data	87
043	f3ab07eb-e21e-45e2-8d75-892620a0422c	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit							1611d6b6-f3f9-4926-a2e8-ea607281f8d6	36864	29950	6322	592	na	25352	20497	4374	481	na	na	na	na	na	na	0.0710	13.3055	0.0682	13.6314	no data	no data	no data	no data	no data	0.0156928208	0.0127495658	v3	Human-TCRB-PD1x	Published	03/16/16 03:59:18	03/16/16 08:24:37	0.8124			no data	no data	87
056	8766e503-1416-434c-9684-b180cc09e1f8	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Wargo- TCRBkit- Replacement-03"}	ISK10001	immunoSEQ hsTCRB Kit							0dd805a5-776f-4321-9659-7cbbb295f14e	4219	3371	745	103	na	3483	2796	602	85	na	na	na	na	na	na	0.0277	11.1323	0.0276	11.4411	no data	no data	no data	no data	no data	0.0189854652	0.0151694715	v3	Human-TCRB-PD1x	Published	01/26/16 10:15:44	01/25/16 05:22:12	0.7990			no data	no data	87
023	6ffb0e4c-9872-4760-a087-3c29dc8125bb	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							19ebabaf-545b-4e56-bbfc-9b3daa530b01	226	157	60	9	na	208	147	54	7	na	na	na	na	na	na	0.0045	7.1672	0.0051	7.6609	no data	no data	no data	no data	no data	0.0127388537	0.00884955749	v3	Human-TCRB-PD1x	Published	02/23/18 03:43:38	02/23/18 01:02:13	0.6947			no data	no data	87
022	db12e7cc-0283-4e3b-a9cd-3f5f64179567	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							3a2da18a-0369-4a6e-b1c0-5bbc914958f0	2094	1678	378	38	na	1695	1349	315	31	na	na	na	na	na	na	0.0322	10.0625	0.0295	10.4104	no data	no data	no data	no data	no data	0.0315852202	0.0253104102	v3	Human-TCRB-PD1x	Published	02/23/18 03:41:07	02/23/18 09:34:49	0.8013			no data	no data	87
011	5c6c122b-4c37-481e-abc3-d3c1cda42135	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							10c381a1-3345-4122-aa1e-4d9c0700b06a	146	99	46	1	na	139	94	44	1	na	na	na	na	na	na	0.0052	6.5207	0.0042	7.0888	no data	no data	no data	no data	no data	0.0303030312	0.0205479451	v3	Human-TCRB-PD1x	Published	02/23/18 03:44:58	02/23/18 01:46:02	0.6781			no data	no data	87
039	afd2fe3c-e327-46db-b6a6-e48a27719e17	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit							85d7e44a-bba5-466d-bbd2-7c54e346cdd8	25463	21550	3523	390	na	22581	19090	3122	369	na	na	na	na	na	na	0.0121	14.0478	0.0115	14.2962	no data	no data	no data	no data	no data	0.00598607911	0.00506617455	v3	Human-TCRB-PD1x	Published	08/23/16 02:35:27	08/23/16 11:24:00	0.8463			no data	no data	87
032	5261bdc8-8f21-466c-acde-1c9d9fa26058	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit							9690a5b3-0524-4dca-b8f1-aeee11689a7b	20754	17435	2975	344	na	19580	16406	2840	334	na	na	na	na	na	na	0.0051	13.9299	0.0046	14.1911	no data	no data	no data	no data	no data	0.0022368799	0.00187915587	v3	Human-TCRB-PD1x	Published	03/16/16 03:59:18	03/16/16 08:23:37	0.8401			no data	no data	87
015	7211c47a-93f0-4373-9661-1237beb6812d	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							1e3a644f-e1b2-4bac-b08c-33a391b94a11	858	680	164	14	na	775	614	147	14	na	na	na	na	na	na	0.0102	9.1672	0.0095	9.5069	no data	no data	no data	no data	no data	0.0176470596	0.0139860138	v3	Human-TCRB-PD1x	Published	02/23/18 03:43:38	02/23/18 01:03:27	0.7925			no data	no data	87
009	bfddeaee-81e3-4997-b7fc-08842f0864fb	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							46beca72-105f-4699-a004-6036465ea771	153	101	47	5	na	133	95	33	5	na	na	na	na	na	na	0.0046	6.5394	0.0149	6.9501	no data	no data	no data	no data	no data	0.0198019799	0.0392156877	v3	Human-TCRB-PD1x	Published	02/23/18 03:44:58	02/23/18 01:46:14	0.6601			no data	no data	87
029	3ce9c4f8-6348-4ed5-980a-d5a8bab81c77	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit							309538a3-9d9d-47ba-8187-b98d8e33cfab	16134	13421	2484	229	na	9834	8131	1526	177	na	na	na	na	na	na	0.0592	12.2197	0.0564	12.5160	no data	no data	no data	no data	no data	0.0114745544	0.00954505987	v3	Human-TCRB-PD1x	Published	08/23/16 02:35:27	08/23/16 11:29:10	0.8318			no data	no data	87
059	6f428626-c3d8-4dd8-8ed7-0edd94164604	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Wargo- TCRBkit- Replacement-03"}	ISK10001	immunoSEQ hsTCRB Kit							11cd1ed9-2a2b-4eec-b399-bd930a9b1e02	3082	2685	362	35	na	2319	1994	292	33	na	na	na	na	na	na	0.0568	10.3388	0.0509	10.6103	no data	no data	no data	no data	no data	0.0461824946	0.0402336158	v3	Human-TCRB-PD1x	Published	01/26/16 10:12:55	01/25/16 05:25:22	0.8712			no data	no data	87
008	aabffcbf-1592-4698-8239-3504c24819a3	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							01b628ab-09b5-437d-a5f9-2f0f4d8e11cc	675	517	140	18	na	597	471	113	13	na	na	na	na	na	na	0.0091	8.7985	0.0113	9.1172	no data	no data	no data	no data	no data	0.0135396514	0.01037037	v3	Human-TCRB-PD1x	Published	02/23/18 03:44:58	02/23/18 01:46:18	0.7659			no data	no data	87
046	32a8da39-ece8-4842-8838-91dce637ab8e	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit							1d9a33d5-7e88-4a24-b9fe-4ef3387933f0	642	490	140	12	na	554	430	114	10	na	na	na	na	na	na	0.0087	8.6718	0.0103	9.0197	no data	no data	no data	no data	no data	0.00816326495	0.00778816221	v3	Human-TCRB-PD1x	Published	05/12/16 05:17:43	05/05/16 04:19:49	0.7632			no data	no data	87
058	4b2f05f1-d1fa-4652-96a8-a31a3b1c144f	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Wargo- TCRBkit- Replacement-03"}	ISK10001	immunoSEQ hsTCRB Kit							11c65b2f-73f3-44c2-be90-2f73f2122259	243	190	48	5	na	215	175	37	3	na	na	na	na	na	na	0.0067	7.4014	0.0084	7.6830	no data	no data	no data	no data	no data	0.0210526325	0.0164609049	v3	Human-TCRB-PD1x	Published	01/26/16 10:15:44	01/25/16 05:21:44	0.7819			no data	no data	87
036	f17b27cb-07bd-436a-975b-259b5197859b	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit							125f5556-5dc7-417e-b224-882c17b55833	1926	1570	310	46	na	1618	1297	281	40	na	na	na	na	na	na	0.0326	10.0035	0.0273	10.3692	no data	no data	no data	no data	no data	0.036305733	0.0295950156	v3	Human-TCRB-PD1x	Published	08/23/16 02:35:27	08/23/16 11:25:25	0.8152			no data	no data	87
069	60f2572d-f597-4088-b422-d3c9ca796246	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Wargo- TCRBkit- Replacement-03"}	ISK10001	immunoSEQ hsTCRB Kit							4ea4b7cc-31e8-459d-a882-0d2feabc582e	990	840	132	18	na	901	765	121	15	na	na	na	na	na	na	0.0080	9.5026	0.0075	9.7414	no data	no data	no data	no data	no data	0.00952380989	0.00808080845	v3	Human-TCRB-PD1x	Published	01/26/16 10:15:44	01/25/16 05:20:55	0.8485			no data	no data	87
001	e7f1ed3b-1b26-41be-8e02-449c1f4e8ac6	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							4fa2594c-2e42-4689-8fed-8775cd79ce96	90	52	27	11	na	78	47	22	9	na	na	na	na	na	na	0.0084	5.5081	0.0109	6.2168	no data	no data	no data	no data	no data	0.0384615399	0.0333333351	v3	Human-TCRB-PD1x	Published	02/23/18 03:42:07	02/23/18 10:31:50	0.5778			no data	no data	87
020	be45f9d3-9d23-4d9d-91f9-ba8c4094cef2	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							595160c0-4a09-4c9e-9bc1-ac4fef5a753f	337	249	80	8	na	316	234	75	7	na	na	na	na	na	na	0.0047	7.8335	0.0044	8.2675	no data	no data	no data	no data	no data	0.0120481923	0.00890207756	v3	Human-TCRB-PD1x	Published	02/23/18 03:41:07	02/23/18 09:35:04	0.7389			no data	no data	87
063	45bb4895-281f-4166-a376-892428ddb0c5	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Wargo- TCRBkit- Replacement-03"}	ISK10001	immunoSEQ hsTCRB Kit							3cdadb4e-6a2a-43ec-82da-c8b259287130	56	37	18	1	na	51	35	15	1	na	na	na	na	na	na	0.0054	5.1013	0.0077	5.6288	no data	no data	no data	no data	no data	0.0540540554	0.0357142873	v3	Human-TCRB-PD1x	Published	01/26/16 10:15:44	01/25/16 05:21:09	0.6607			no data	no data	87
019	809fc13a-34e0-467e-bf3c-4e04b2183583	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							6740c14d-01e0-446d-9e42-e393375a7957	541	399	129	13	na	508	380	116	12	na	na	na	na	na	na	0.0041	8.5343	0.0045	8.9482	no data	no data	no data	no data	no data	0.0100250626	0.00739371544	v3	Human-TCRB-PD1x	Published	02/23/18 03:43:38	02/23/18 01:03:04	0.7375			no data	no data	87
055	d7257e7a-687d-4033-98de-49e6ff6488ee	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Wargo- TCRBkit- Replacement-03"}	ISK10001	immunoSEQ hsTCRB Kit							9245bf61-0a7d-4edd-b986-05b09f9d3267	6413	5213	1059	141	na	5876	4771	968	137	na	na	na	na	na	na	0.0080	12.1227	0.0074	12.4279	no data	no data	no data	no data	no data	0.00364473439	0.00296273199	v3	Human-TCRB-PD1x	Published	01/26/16 10:15:44	01/25/16 05:22:27	0.8129			no data	no data	87
026	c2dbf1fa-b700-4270-899b-ac72fbb31865	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit							9dd978a3-7141-4e8a-a1e9-9d0662847547	279	203	67	9	na	269	196	65	8	na	na	na	na	na	na	0.0029	7.5927	0.0027	8.0497	no data	no data	no data	no data	no data	0.0147783253	0.0107526882	v3	Human-TCRB-PD1x	Published	05/12/16 05:17:43	05/05/16 04:18:13	0.7276			no data	no data	87
034	f9bf907e-5282-492e-a8c9-27b65f524cf5	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"University of Heidelberg- Stiller- YIATCRBKit-01"}	ISK10001	immunoSEQ hsTCRB Kit							587847b4-f17e-42d1-94f4-d72de0d06eb5	11593	9525	1766	302	na	8099	6552	1358	189	na	na	na	na	na	na	0.0637	11.8707	0.0579	12.2312	no data	no data	no data	no data	no data	0.0280314963	0.0230311397	v3	Human-TCRB-PD1x	Published	08/23/16 02:35:27	08/23/16 11:27:24	0.8216			no data	no data	87
012	9acd0324-8490-41e9-a8b0-46e17ca0b98d	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Reuben- hsTCRBKit-08"}	ISK10001	immunoSEQ hsTCRB Kit							5a107554-a9d5-432c-aed3-3cc5b44831ec	141	90	46	5	na	116	72	39	5	na	na	na	na	na	na	0.0304	5.9821	0.0216	6.7096	no data	no data	no data	no data	no data	0.0666666701	0.0425531901	v3	Human-TCRB-PD1x	Published	02/23/18 03:44:58	02/23/18 01:45:47	0.6383			no data	no data	87
066	53a863a8-ae33-49ae-b337-b88f706d71c6	Human	TCRB	KIT	fbaae9ec-1845-4a40-af92-4917fd94c6d1		{"sku":"ISK10001","test_name":"immunoSEQ hsTCRB Kit","order_name":"MD Anderson- Wargo- TCRBkit- Replacement-03"}	ISK10001	immunoSEQ hsTCRB Kit							71c38d36-7787-4467-8177-9f595b8290ab	3020	2437	535	48	na	2495	1971	479	45	na	na	na	na	na	na	0.0401	10.5055	0.0332	10.9102	no data	no data	no data	no data	no data	0.0348789506	0.0281456951	v3	Human-TCRB-PD1x	Published	01/26/16 10:12:55	01/25/16 05:24:22	0.8070			no data	no data	87
